user_id|tweet_id|likes|shares|comments|followers|timestamp|language|location|label
user_id_1|tweet_id_1|435.0|80.0|26.0|2793.0|2021/08/25 15:56:00|English|London, UK|Fake
user_id_2|tweet_id_2|453.0|111.0|89.0|2524.0|2022/07/10 14:43:31|English|Johannesburg, South Africa|Fake
user_id_3|tweet_id_3||||6380.0|2021-07-17 21:13:46||Melbourne, Australia|Fake
user_id_4|tweet_id_4||||399.0|2021-01-21 22:53:25||Does it matter?|Fake
user_id_5|tweet_id_2|108.0|88.0|41.0|362.0|2021-11-09 10:50:00|English|New York, USA|Fake
user_id_6|tweet_id_1|495.0|37.0|65.0|1622.0|2020-10-21 13:02:00|English|Madrid, Spain|Fake
user_id_7|tweet_id_1|496.0|16.0|81.0|481.0|2022-06-26 23:23:00|English|Beijing, China|Fake
user_id_8|tweet_id_5|99.0|92.0|9.0|1818.0|2022-05-19 04:41:00|Russian|Beijing, China|Fake
user_id_9|tweet_id_2|120.0|12.0|32.0|3080.0|2021-02-27 08:24:00|English|New York, USA|Fake
user_id_10|tweet_id_6|493.0|173.0|86.0|2143.0|2020-12-21 03:02:00|Chinese|Berlin, Germany|Fake
user_id_11|tweet_id_2|309.0|289.0|90.0|1774.0|2022-03-07 17:58:00|English|Mexico City, Mexico|Fake
user_id_12|tweet_id_1|5315.0|4359.0|1867.0|425456.0|2020-01-04 21:12:00|English|São Paulo, Brazil|Fake
user_id_13|tweet_id_2|288.0|94.0|50.0|4051.0|2020-10-28 08:05:00|English|Cairo, Egypt|Fake
user_id_14|tweet_id_7||||4097.0|2021-08-08 02:00:39||Olmec Xi (Catawba and Tsalagi)|Fake
user_id_15|tweet_id_1|467.0|145.0|40.0|2864.0|2020-10-12 00:08:00|English|Toronto, Canada|Fake
user_id_16|tweet_id_8||||10.0|2021-11-15 23:48:06|||Fake
user_id_17|tweet_id_5|47.0|237.0|59.0|2517.0|2022-03-14 15:59:00|Russian|Sydney, Australia|Fake
user_id_18|tweet_id_9||||336.0|2021-08-24 09:05:00||Moon 🌑|Fake
user_id_19|tweet_id_10||||57.0|2022-06-03 10:48:54||Brooklyn, NY 🇺🇸|Fake
user_id_20|tweet_id_11||||233.0|2021-08-13 17:53:56|||Fake
user_id_21|tweet_id_5|76.0|229.0|83.0|4021.0|2020-06-02 02:42:00|Russian|Madrid, Spain|Fake
user_id_22|tweet_id_12||||534.0|2021-02-16 00:39:48|||Fake
user_id_23|tweet_id_13||||333.0|2021-03-24 15:18:56||Vijayawada, India|Fake
user_id_24|tweet_id_2|23.0|18.0|45.0|3023.0|2022-01-08 21:37:00|English|New Delhi, India|Fake
user_id_25|tweet_id_1|27.0|246.0|1.0|976.0|2021-10-17 14:48:00|English|Tokyo, Japan|Fake
user_id_26|tweet_id_2|155.0|206.0|32.0|883.0|2021-07-17 11:44:00|English|Berlin, Germany|Fake
user_id_27|tweet_id_2|81.0|193.0|28.0|2691.0|2021-09-14 19:14:00|English|Cairo, Egypt|Fake
user_id_28|tweet_id_1|420.0|287.0|98.0|204.0|2021-08-10 20:06:00|English|London, UK|Fake
user_id_29|tweet_id_14|346.0|76.0|26.0|4976.0|2020-03-08 10:40:00|Arabic|Mexico City, Mexico|Fake
user_id_30|tweet_id_2|107.0|5.0|55.0|1524.0|2021-02-17 09:38:00|English|Madrid, Spain|Fake
user_id_31|tweet_id_1|318.0|281.0|16.0|2783.0|2022-06-24 06:55:00|English|Dubai, UAE|Fake
user_id_32|tweet_id_15||||323.0|2021-02-05 18:00:49||India|Fake
user_id_33|tweet_id_1|361.0|24.0|60.0|1726.0|2020-01-11 13:01:00|English|São Paulo, Brazil|Fake
user_id_34|tweet_id_16||||746.0|2021-08-04 07:38:07||Hull & Humberside|Fake
user_id_35|tweet_id_17||||970.0|2021-01-14 19:01:08||Annapolis, MD|Fake
user_id_36|tweet_id_18||||5452110.0|2020-12-31 03:13:54||India|Fake
user_id_37|tweet_id_19||||670.0|2021-04-27 22:02:52||Philadelphia, Pa.|Fake
user_id_38|tweet_id_20|426.0|228.0|46.0|4338.0|2021-04-02 01:29:00|Chinese|New Delhi, India|Fake
user_id_39|tweet_id_21||||6309.0|2021-03-25 11:02:34||Ireland|Fake
user_id_40|tweet_id_22||||1666.0|2021-02-04 20:43:23|||Fake
user_id_41|tweet_id_23||||905.0|2021-05-26 10:53:16||Paris, France|Fake
