created_at,full_text,screen_name,name,in_reply_to,retweeted_status,quoted_status,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked
2025-01-03 17:43:24 -10:00,What?!!!!\nThe HPV vx has M DNA in F vx &amp; F in M vx. India found out and sued Gates and Merck and banned it after infertility body dysmorphia illness deaths and gender confusion...\nhttps://t.co/maHQt0IHG6,screen_name37,name37,,,,0,0,0,0,0,49.0,False,False,False
2025-01-03 20:41:24 -10:00,"2. Common STDs include:\n\n• Chlamydia: A bacterial infection that often has no symptoms but can cause pain or infertility if untreated.\n\n• Gonorrhea: Another bacterial infection that affects the genitals, throat, or rectum and can lead to complications if not treated.\n\n• HPV (Human Papillomavirus): A viral infection with many types. Some cause genital warts, while others are linked to cancers like cervical cancer.\n\n• Herpes: A viral infection causing painful sores or blisters around the genitals or mouth.\n\n• HIV/AIDS: A viral infection that weakens the immune system, making it harder for the body to fight other infections.",screen_name38,name38,1.8754323212784724e+18,,,40,3,20,0,3,14854.0,False,False,False
2025-01-04 22:52:11 -10:00,"2. Common STDs include:\n\n• Chlamydia: A bacterial infection that often has no symptoms but can cause pain or infertility if untreated.\n\n• Gonorrhea: Another bacterial infection that affects the genitals, throat, or rectum and can lead to complications if not treated.\n\n• HPV (Human Papillomavirus): A viral infection with many types. Some cause genital warts, while others are linked to cancers like cervical cancer.\n\n• Herpes: A viral infection causing painful sores or blisters around the genitals or mouth.\n\n• HIV/AIDS: A viral infection that weakens the immune system, making it harder for the body to fight other infections.",screen_name39,name39,1.8758276202372017e+18,,,0,0,0,0,1,41.0,False,False,False
2025-01-05 22:39:53 -10:00,@MOH_Kenya You know it's not HPV vaccine. It's like the GDH that's was given to women in 1997-98 and 2013-2914 for infertility.,screen_name40,name40,1.8761858155729677e+18,,,0,0,0,0,0,21.0,False,False,False
2025-01-06 08:16:36 -10:00,"@DrNeilStone Disinformation? Let’s call it for what it is, a blatant lie.\n\nhttps://t.co/4oTwyaVIco\n\nhttps://t.co/CnYrZtW8JQ\n\nhttps://t.co/ctJLRcDZBV\n\nhttps://t.co/HEtsdjRY7b\n\nTo preempt another lie by RFK Jr, HPV vaccination does not cause infertility either,\n\nhttps://t.co/5slcCMuzfd",screen_name41,name41,1.8762350421687055e+18,,,27,4,3,0,0,448.0,False,False,False
2025-01-07 02:31:33 -10:00,"@stopvaccinating Omg I was so mad when I saw that in my fb news feed. That stupid shot, just one dose, gave me a dog allergy and HPV after being in a long term very stable relationship. Definitely didn’t cause me any infertility, luckily. That’s the jab that woke my ass up 🫠",screen_name42,name42,1.8763452777220262e+18,,,2,0,0,0,0,66.0,False,False,False
2025-01-07 07:40:05 -10:00,"@DrNeilStone You’re a paid Pharma shill.\nThe HPV vaccine is one of the most dangerous jabs for side effects including infertility, cancer and death! \n\nQuit shilling for pennies 💉🤡👆🏻",screen_name43,name43,1.8762350421687055e+18,,,0,0,0,0,0,24.0,False,False,False
2025-01-07 08:10:32 -10:00,"@OlooneyJohn @libdemdaisy Gates' latest Vaccine Atrocities - the  HPV xavxet vaccines, causing Infertility, death, and life-change injuries in India.\nJudges are still demanding answers! https://t.co/C3qzMjzXmv",screen_name44,name44,1.8766117888689114e+18,,,5,3,0,0,0,64.0,False,False,False
2025-01-07 08:10:37 -10:00,"@elonmusk You need herbal cure for Breast cancer, gerd,Bursitis,Tinnitus, Mds, Lymedisease,COPD,Prostate disease,Diabetes, high Cholesterol, Psoriasis,Lupus,HPV, Arthritis,Low Sperm,Fibroid,Infertility,Erectile https://t.co/o9j48IaaZf ; drsalamihakeem19@gmail.com WhatsApp +229 42 50 56 14",screen_name45,name45,1.8766576620684616e+18,,,0,0,0,0,0,33.0,False,False,False
2025-01-07 10:21:21 -10:00,cervical cancer caused by or treatment of infertility or to prevent cervical cancer? \nA. Hpv(human papilloma virus.             vaccine). \nB. Tdap.                                                  \nC. Dtp \nD. None of the above,screen_name46,name46,,,,0,0,0,0,1,52.0,False,False,False
